,EAN Code,TV Model,PVP,TVs
2027,8806098251315.0,27MK430H-B.AEU,136.94,True
2028,8806098407958.0,24TL510V-PZ.AEU,98.11,True
2029,8806098387854.0,49UM7400PLB.AEU,349.32,True
2030,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2031,8806098089710.0,27GK750F-B.AEU,277.36,True
2032,8806098385706.0,OLED55E9PLA.AEU,1395.45,True
2033,8806098240876.0,75SM9900PLA.AEU,2313.58,True
2034,8806098104055.0,27MK400H-B.AEU,136.91,True
2035,8806098387854.0,49UM7400PLB.AEU,349.32,True
2036,8806098387854.0,49UM7400PLB.AEU,349.32,True
2037,8806098359349.0,27UK670-B.AEU,430.32,True
2038,8806098424573.0,55SM9010PLA.AEU,795.31,True
2039,8806087301618.0,27MP89HM-S.AEU,212.39,True
2040,8806098388691.0,43UM7400PLB.AEU,306.02,True
2041,8806098388691.0,43UM7400PLB.AEU,628.44,True
2042,8806098388691.0,43UM7400PLB.AEU,628.44,True
2043,8806098388691.0,43UM7400PLB.AEU,314.22,True
2044,8806098196302.0,75UK6200PLB.AEU,889.59,True
2045,8806098409006.0,65SM8200PLA.AEU,907.77,True
2046,8806098409006.0,65SM8200PLA.AEU,907.77,True
2047,8806098409006.0,65SM8200PLA.AEU,907.77,True
2048,8806098409006.0,65SM8200PLA.AEU,907.77,True
2049,8806098387854.0,49UM7400PLB.AEU,349.32,True
2050,8806098388691.0,43UM7400PLB.AEU,299.27,True
2051,8806087863444.0,PH150G.AEU,228.91,True
2052,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2053,8806098407958.0,24TL510V-PZ.AEU,98.11,True
2054,8806098196302.0,75UK6200PLB.AEU,889.59,True
2055,8806098388684.0,43UM7390PLC.AEU,374.04,True
2056,8806098387854.0,49UM7400PLB.AEU,349.32,True
2057,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2058,8806098396252.0,43UM7100PLB.AEU,737.49,True
2059,8806098385706.0,OLED55E9PLA.AEU,1329.0,True
2060,8806098407958.0,24TL510V-PZ.AEU,98.11,True
2061,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2062,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2063,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2064,8806098387854.0,49UM7400PLB.AEU,349.32,True
2065,8806098424573.0,55SM9010PLA.AEU,965.69,True
2066,8806098141524.0,32LK510BPLD.AEU,646.58,True
2067,8806098424870.0,55UM7660PLA.AEU,646.58,True
2068,8806098424870.0,55UM7660PLA.AEU,482.71,True
2069,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2070,8806098387854.0,49UM7400PLB.AEU,349.32,True
2071,8806098089710.0,27GK750F-B.AEU,277.36,True
2072,8806098408771.0,49SM8200PLA.AEU,471.68,True
2073,8806098388691.0,43UM7400PLB.AEU,314.22,True
2074,8806098388691.0,43UM7400PLB.AEU,314.22,True
2075,8806098387854.0,49UM7400PLB.AEU,349.32,True
2076,8806098387854.0,49UM7400PLB.AEU,349.32,True
2077,8806098104055.0,27MK400H-B.AEU,136.91,True
2078,8806098387069.0,55UM7450PLA.AEU,490.81,True
2079,8806098388691.0,43UM7400PLB.AEU,314.22,True
2080,8806098387854.0,49UM7400PLB.AEU,349.32,True
2081,8806098388691.0,43UM7400PLB.AEU,314.22,True
2082,8806098388691.0,43UM7400PLB.AEU,306.02,True
2083,8806098338764.0,27MK600M-W.AEU,147.5,True
2084,8806098408771.0,49SM8200PLA.AEU,471.68,True
2085,8806098068197.0,OLW480B.AEU,103.07,True
2086,8806098388691.0,43UM7400PLB.AEU,314.22,True
2087,8806098388691.0,43UM7400PLB.AEU,306.02,True
2088,8806098387854.0,49UM7400PLB.AEU,349.32,True
2089,8806098387854.0,49UM7400PLB.AEU,349.32,True
2090,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2091,8806098388691.0,43UM7400PLB.AEU,306.02,True
2092,8806098384259.0,OLED77C9PLA.AEU,4059.02,True
2093,8806098293971.0,28TL510S-PZ.AEU,170.73,True
2094,8806098103973.0,22MK430H-B.AEU,86.07,True
2095,8806098387854.0,49UM7400PLB.AEU,349.32,True
2096,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2097,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2098,8806098293971.0,28TL510S-PZ.AEU,170.73,True
2099,8806098382422.0,AN-MR19BA.AEU,330.18,True
2100,8806098388691.0,43UM7400PLB.AEU,330.18,True
2101,8806098387854.0,49UM7400PLB.AEU,458.41,True
2102,8806098335732.0,24MK600M-W.AEU,112.19,True
2103,8806098335732.0,24MK600M-W.AEU,112.19,True
2104,8806098493654.0,OLED55C9MLB.AEU,1154.47,True
2105,8806098387854.0,49UM7400PLB.AEU,349.32,True
2106,8806098388691.0,43UM7400PLB.AEU,314.22,True
2107,8806098387854.0,49UM7400PLB.AEU,349.32,True
2108,8806098388691.0,43UM7400PLB.AEU,314.22,True
2109,8806098293971.0,28TL510S-PZ.AEU,159.26,True
2110,8806098388691.0,43UM7400PLB.AEU,314.22,True
2111,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2112,8806098388691.0,43UM7400PLB.AEU,314.22,True
2113,8806098387854.0,49UM7400PLB.AEU,349.32,True
2114,8806087301045.0,34UM69G-B.AEU,280.36,True
2115,8806098387854.0,49UM7400PLB.AEU,349.32,True
2116,8806098387854.0,49UM7400PLB.AEU,349.32,True
2117,8806098388691.0,43UM7400PLB.AEU,314.22,True
2118,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2119,8806098388691.0,43UM7400PLB.AEU,306.02,True
2120,8806098293957.0,24TL510S-PZ.AEU,134.65,True
2121,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2122,8806098385706.0,OLED55E9PLA.AEU,1436.98,True
2123,8806098104055.0,27MK400H-B.AEU,136.54,True
2124,8806098387854.0,49UM7400PLB.AEU,349.32,True
2125,8806098293957.0,24TL510S-PZ.AEU,131.76,True
2126,8806098293957.0,24TL510S-PZ.AEU,131.76,True
2127,8806098544172.0,24GL650-B.AEU,166.43,True
2128,8806098387854.0,49UM7400PLB.AEU,349.32,True
2129,8806098388691.0,43UM7400PLB.AEU,314.22,True
2130,8806098293957.0,24TL510S-PZ.AEU,131.76,True
2131,8806098293957.0,24TL510S-PZ.AEU,131.76,True
2132,8806098493654.0,OLED55C9MLB.AEU,1154.47,True
2133,8806098387854.0,49UM7400PLB.AEU,349.32,True
2134,8806098387069.0,55UM7450PLA.AEU,495.96,True
2135,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2136,8806098387854.0,49UM7400PLB.AEU,349.32,True
2137,8806098388691.0,43UM7400PLB.AEU,314.22,True
2138,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2139,8806098396375.0,49UM7100PLB.AEU,391.12,True
2140,8806098387854.0,49UM7400PLB.AEU,349.32,True
2141,8806098396375.0,49UM7100PLB.AEU,356.13,True
2142,8806098387069.0,55UM7450PLA.AEU,440.57,True
2143,8806098396252.0,43UM7100PLB.AEU,299.42,True
2144,8806098388691.0,43UM7400PLB.AEU,314.22,True
2145,8806098388691.0,43UM7400PLB.AEU,314.22,True
2146,8806098387854.0,49UM7400PLB.AEU,349.32,True
2147,8806098141524.0,32LK510BPLD.AEU,193.07,True
2148,8806098396252.0,43UM7100PLB.AEU,275.47,True
2149,8806098388691.0,43UM7400PLB.AEU,314.22,True
2150,8806098387854.0,49UM7400PLB.AEU,349.32,True
2151,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2152,8806087301045.0,34UM69G-B.AEU,280.36,True
2153,8806098424573.0,55SM9010PLA.AEU,692.46,True
2154,8806098387854.0,49UM7400PLB.AEU,349.32,True
2155,8806098388691.0,43UM7400PLB.AEU,420.87,True
2156,8806098388691.0,43UM7400PLB.AEU,314.22,True
2157,8806098388691.0,43UM7400PLB.AEU,314.22,True
