,Model,Price
0,TV SAMSUNG UE65TU7125K (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"711,99€"
1,TV SAMSUNG UE65TU8005 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"699,99€"
2,TV SAMSUNG UE65TU8505U (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"954,90€"
3,TV SAMSUNG UE65RU7105K (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"1420,00€"
4,TV SAMSUNG UE65RU7405KXXC (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"921,14€"
5,TV SAMSUNG UE65NU7105KXXC (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"2260,00€"
6,TV SAMSUNG HG65EE890WB (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"2461,90€"
