,Model,Price
0,TV SAMSUNG UE65TU8005 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"749,99€"
1,TV SAMSUNG UE65TU8505U (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"859,99€"
2,TV SAMSUNG UE65RU7105K (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"800,68€"
3,TV SAMSUNG UE65RU7405KXXC (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"1014,23€"
4,TV SAMSUNG UE65HU8500 (Caja Abierta - LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"944,07€"
5,TV SAMSUNG UE65HU8500 (Caja Abierta - LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"944,07€"
6,TV SAMSUNG HG65EE890WB (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"2461,90€"
