,Model,Price
0,"LG 65UN71003LB 65"" LED UltraHD 4K",599€
1,"LG 65UM7050 65"" LED UltraHD 4K",579€
2,"Philips 65PUS8535 65"" LED UltraHD 4K",819€859€
3,"LG 65UM7510PLA 65"" LED UltraHD 4K","629,99€"
4,"LG 60UN71006LB 60"" LED UltraHD 4K",579€
5,"LG 65UN80006LA 65"" LED UltraHD 4K",689€
6,"LG 65UN71006LB 65"" LED UltraHD 4K",639€
7,"LG 65UN74006LB 65"" LED UltraHD 4K",679€
8,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999€
9,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",799€
10,"LG 65UN73006LA 65"" LED UltraHD 4K","679€749,99€"
11,65NANO866NA,"975,01€"
12,"LG 65UN80003LA 65"" LED UltraHD 4K",649€
13,"LG 65UN85006LA 65"" LED UltraHD 4K",859€
14,65NANO866NA Reacondicionado,"945,75€"
15,"LG 65SK8000PLB 65"" LED Nanocell UltraHD 4K Reacondicionado","826,10€"
16,"Philips 65PUS8535 65"" LED UltraHD 4K Reacondicionado","796,70€"
17,"LG 65UN85003LA 65"" LED UltraHD 4K",799€
18,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","624,61€"
19,"LG 65UM7450PLA 65"" LED UltraHD 4K",619€
20,"LG 65UM7050 65"" LED UltraHD 4K Reacondicionado","521,05€"
21,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K","899,01€"
22,"LG 60UN71003LB 60"" LED UltraHD 4K","538,99€"
23,"LG 65UM7400PLB 65"" LED UltraHD 4K","688,99€"
