,Unnamed: 0,Model,Price,day
18,18,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",4
19,19,"LG 65UM7610PLB 65"" LED IPS UltraHD 4K","859,48",4
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,5
1,1,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","659,99",5
2,2,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",5
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,5
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,5
5,5,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",5
6,6,"Philips 65PUS8535 65"" LED UltraHD 4K",829-929,5
7,7,"LG 65UN80006LA 65"" LED UltraHD 4K",699,5
8,8,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,5
9,9,65NANO866NA Reacondicionado,"1058,40",5
10,10,65NANO866NA,"1098,99",5
11,11,"LG 60UN71006LB 60"" LED UltraHD 4K",579,5
12,12,"LG 65UM7400PLB 65"" LED UltraHD 4K","693,99",5
13,13,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,5
14,14,"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K","1098,99",5
15,15,"LG 65UM7000PLA 65"" LED UltraHD 4K","676,99",5
16,16,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","761,92",5
17,17,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,5
18,18,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",5
19,19,"LG 65UM7610PLB 65"" LED IPS UltraHD 4K","864,88",5
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,6
1,1,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","659,99",6
2,2,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",6
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,6
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,6
5,5,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",6
6,6,"Philips 65PUS8535 65"" LED UltraHD 4K",829-929,6
7,7,"LG 65UN80006LA 65"" LED UltraHD 4K",699,6
8,8,65NANO866NA Reacondicionado,"1058,40",6
9,9,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,6
10,10,65NANO866NA,"1098,99",6
11,11,"LG 60UN71006LB 60"" LED UltraHD 4K",579,6
12,12,"LG 65UM7400PLB 65"" LED UltraHD 4K","693,99",6
13,13,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,6
14,14,"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K","1098,99",6
15,15,"LG 65UM7000PLA 65"" LED UltraHD 4K","676,99",6
16,16,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","761,92",6
17,17,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,6
18,18,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",6
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,7
1,1,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",7
2,2,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","659,99",7
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,7
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,7
5,5,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",7
6,6,"Philips 65PUS8535 65"" LED UltraHD 4K",829-929,7
7,7,"LG 65UN80006LA 65"" LED UltraHD 4K",699,7
8,8,65NANO866NA Reacondicionado,"1058,40",7
9,9,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,7
10,10,"LG 60UN71006LB 60"" LED UltraHD 4K",579,7
11,11,65NANO866NA,"1098,99",7
12,12,"LG 65UM7400PLB 65"" LED UltraHD 4K","693,99",7
13,13,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,7
14,14,"LG 65UM7000PLA 65"" LED UltraHD 4K","676,99",7
15,15,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","766,11",7
16,16,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,7
17,17,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",7
18,18,"LG 65UM7610PLB 65"" LED IPS UltraHD 4K","864,88",7
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,8
1,1,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",8
2,2,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","659,99",8
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,8
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,8
5,5,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",8
6,6,"Philips 65PUS8535 65"" LED UltraHD 4K",829-929,8
7,7,"LG 65UN80006LA 65"" LED UltraHD 4K",699,8
8,8,"LG 65UM7050 65"" LED UltraHD 4K Reacondicionado","521,05",8
9,9,65NANO866NA Reacondicionado,"1058,40",8
10,10,"LG 65UM7510PLA 65"" LED UltraHD 4K Reacondicionado","585,50",8
11,11,"LG 60UN71006LB 60"" LED UltraHD 4K",579,8
12,12,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,8
13,13,65NANO866NA,"1098,99",8
14,14,"LG 65UM7400PLB 65"" LED UltraHD 4K","693,99",8
15,15,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,8
16,16,"LG 65UM7000PLA 65"" LED UltraHD 4K","676,99",8
17,17,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","1149,82",8
18,18,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,8
19,19,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",8
20,20,"LG 65UM7610PLB 65"" LED IPS UltraHD 4K","864,88",8
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,9
1,1,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",9
2,2,"LG 65UN71006LB 65"" LED UltraHD 4K",639,9
3,3,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","803,46",9
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,9
5,5,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",9
6,6,"Philips 65PUS8535 65"" LED UltraHD 4K",859,9
7,7,"LG 65UN80006LA 65"" LED UltraHD 4K",699,9
8,8,"LG 65UM7050 65"" LED UltraHD 4K Reacondicionado","521,05",9
9,9,65NANO866NA Reacondicionado,"1042,50",9
10,10,65NANO866NA,"1098,99",9
11,11,"LG 60UN71006LB 60"" LED UltraHD 4K",579,9
12,12,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K","1278,70",9
13,13,"LG 65UM7400PLB 65"" LED UltraHD 4K","693,99",9
14,14,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,9
15,15,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,9
